Date,Open,High,Low,Close,Volume,Adj Close
1/9/2013,145.869995,146.320007,145.639999,145.919998,90745600,138.990675
1/8/2013,145.710007,145.910004,144.979996,145.550003,121265100,138.63825
1/7/2013,145.850006,146.110001,145.429993,145.970001,110002500,139.038303
1/4/2013,145.970001,146.610001,145.669998,146.369995,116817700,139.419303
1/3/2013,145.990005,146.369995,145.339996,145.729996,144761800,138.809695
1/2/2013,145.110001,146.149994,144.729996,146.059998,192059000,139.124026
12/31/2012,139.660004,142.559998,139.539993,142.410004,243935200,135.64736
12/28/2012,140.639999,141.419998,139.869995,140.029999,148806700,133.380375
12/27/2012,141.789993,142.080002,139.919998,141.559998,167920600,134.837718
12/26/2012,142.639999,142.710007,141.350006,141.75,106947700,135.018698
12/24/2012,142.479996,142.559998,142.190002,142.350006,53874600,135.590211
12/21/2012,142.169998,144.089996,141.940002,142.789993,245883800,136.009305
12/20/2012,144.380005,145.139999,143.979996,145.119995,168487000,137.255202
12/19/2012,145.529999,145.580002,144.240005,144.289993,150895400,136.470182
12/18/2012,144,145.5,143.789993,145.369995,177762800,137.491653
12/17/2012,142.470001,143.850006,142.429993,143.770004,143238200,135.978374
12/14/2012,142.320007,142.580002,141.880005,142.100006,137701700,134.398881
12/13/2012,143.419998,143.830002,142.270004,142.630005,135715000,134.900157
12/12/2012,144,144.550003,143.309998,143.509995,145880100,135.732455
12/11/2012,143.059998,144.110001,142.990005,143.440002,152570400,135.666256
12/10/2012,142.210007,142.809998,142.149994,142.470001,98840700,134.748824
12/7/2012,142.529999,142.690002,141.669998,142.410004,108726400,134.692078
12/6/2012,141.369995,142.039993,141.160004,141.979996,103220600,134.285375
12/5/2012,141.369995,142.160004,140.369995,141.5,147300500,133.831392
12/4/2012,141.440002,141.869995,140.869995,141.25,127512200,133.594941
12/3/2012,142.800003,142.919998,141.339996,141.449997,124656300,133.784099
11/30/2012,142.139999,142.419998,141.660004,142.149994,136568300,134.44616
11/29/2012,141.990005,142.509995,141.369995,142.119995,151085900,134.417787
11/28/2012,139.759995,141.539993,139,141.460007,177086500,133.793567
11/27/2012,140.910004,141.389999,140.240005,140.330002,128646200,132.724803
11/26/2012,140.649994,141.360001,140.190002,141.050003,100124400,133.405783
11/23/2012,140.130005,141.399994,140.039993,141.350006,65409200,133.689528
11/21/2012,139.309998,139.570007,139.029999,139.449997,81710800,131.89249
11/20/2012,138.910004,139.419998,138.080002,139.190002,119807400,131.646586
11/19/2012,137.899994,139.149994,136.410004,139.130005,151495800,131.58984
11/16/2012,135.899994,136.639999,134.699997,136.369995,239483900,128.979409
11/15/2012,135.979996,136.490005,135.179993,135.699997,178128400,128.345721
11/14/2012,138.210007,138.429993,135.619995,135.929993,191505000,128.563252
11/13/2012,137.539993,139.25,137.360001,137.789993,123018300,130.32245
11/12/2012,138.589996,138.809998,137.960007,138.270004,97677500,130.776447
11/9/2012,137.619995,139.440002,137.550003,138.160004,201055300,130.672408
11/8/2012,139.699997,140.410004,137.929993,138.039993,181517300,130.558901
11/7/2012,141.660004,141.679993,139.059998,139.720001,264304500,132.147861
11/6/2012,142.279999,143.520004,142.130005,142.960007,107068100,135.212274
11/5/2012,141.350006,142.169998,140.929993,141.850006,98378500,134.16243
11/2/2012,143.679993,143.720001,141.410004,141.559998,137702200,133.888138
11/1/2012,141.649994,143.009995,141.520004,142.830002,100995600,135.089315
10/31/2012,141.850006,142.029999,140.679993,141.350006,103438500,133.689528
10/26/2012,141.300003,141.839996,140.389999,141.350006,146023500,133.689528
10/25/2012,142.020004,142.279999,140.570007,141.429993,134457400,133.765179
10/24/2012,141.929993,142.100006,140.800003,141.020004,120179400,133.37741
10/23/2012,141.860001,142.059998,140.830002,141.419998,192056300,133.755726
10/22/2012,143.149994,143.669998,142.279999,143.410004,125578600,135.637883
10/19/2012,145.550003,145.559998,143.050003,143.389999,185645200,135.618963
10/18/2012,145.820007,146.520004,145.330002,145.820007,148108500,137.917277
10/17/2012,145.639999,146.320007,145.419998,146.199997,128834100,138.276673
10/16/2012,144.759995,145.639999,144.660004,145.539993,108815500,137.652438
10/15/2012,143.229996,144.229996,142.770004,144.080002,107689100,136.271571
10/12/2012,143.460007,143.949997,142.580002,142.889999,124181900,135.146061
10/11/2012,144.279999,144.490005,143.330002,143.360001,123601500,135.59059
10/10/2012,144.179993,144.320007,143.089996,143.279999,124247500,135.514924
10/9/2012,145.529999,145.649994,144.149994,144.199997,148872900,136.385063
10/8/2012,145.600006,146.119995,145.309998,145.639999,78415400,137.747024
10/5/2012,146.910004,147.160004,145.699997,146.139999,124842100,138.219927
10/4/2012,145.639999,146.339996,145.440002,146.130005,124311600,138.210474
10/3/2012,144.889999,145.429993,144.130005,145.089996,121283100,137.226829
10/2/2012,144.919998,145.149994,143.830002,144.5,113422200,136.668807
10/1/2012,144.520004,145.690002,144.009995,144.350006,135911200,136.526942
9/28/2012,144.089996,144.559998,143.460007,143.970001,150696100,136.167532
9/27/2012,143.889999,144.970001,143.509995,144.639999,111830300,136.801219
9/26/2012,144.070007,144.110001,142.949997,143.289993,146502200,135.524377
9/25/2012,145.960007,146.240005,144.059998,144.100006,133165200,136.290491
9/24/2012,145.149994,145.979996,145.039993,145.649994,95682000,137.756477
9/21/2012,146.639999,146.669998,145.809998,145.869995,108737500,137.964555
9/20/2012,146.029999,146.789993,145.630005,146.710007,154009800,138.022258
9/19/2012,146.789993,147.169998,146.410004,146.699997,128318300,138.01284
9/18/2012,146.490005,146.809998,146.25,146.619995,98326600,137.937576
9/17/2012,146.940002,147.190002,146.369995,146.740005,119427800,138.05048
9/14/2012,146.880005,148.110001,146.759995,147.240005,169777000,138.520871
9/13/2012,144.369995,147.039993,143.990005,146.589996,225470200,137.909354
9/12/2012,144.389999,144.550003,143.899994,144.389999,87640900,135.839634
9/11/2012,143.600006,144.369995,143.559998,143.910004,88760000,135.388063
9/10/2012,144.190002,144.440002,143.460007,143.509995,86458500,135.011741
9/7/2012,144.009995,144.389999,143.880005,144.330002,107272100,135.78319
9/6/2012,141.759995,143.779999,141.75,143.770004,158272500,135.256354
9/5/2012,141.089996,141.470001,140.630005,140.910004,100660300,132.565714
9/4/2012,141.039993,141.460007,140.130005,141.029999,120226200,132.678603
8/31/2012,141.289993,141.820007,140.360001,141.160004,151970400,132.80091
8/30/2012,140.899994,140.940002,140.190002,140.490005,96589900,132.170587
8/29/2012,141.520004,141.889999,141.119995,141.509995,65421300,133.130175
8/28/2012,141.179993,141.839996,140.970001,141.399994,75689600,133.026689
8/27/2012,141.889999,142.080002,141.339996,141.539993,68785900,133.158398
8/24/2012,140.309998,141.830002,140.220001,141.509995,99481200,133.130175
8/23/2012,141.470001,141.479996,140.440002,140.660004,111466400,132.330518
8/22/2012,141.399994,142.050003,141.070007,141.820007,133243500,133.42183
8/21/2012,142.539993,143.089996,141.449997,141.759995,105581100,133.365371
8/20/2012,141.979996,142.220001,141.589996,142.190002,78255700,133.769915
8/17/2012,142.229996,142.300003,141.860001,142.179993,90813700,133.760498
8/16/2012,141.149994,142.160004,140.800003,141.990005,112014200,133.581761
8/15/2012,140.639999,141.190002,140.550003,140.949997,71085900,132.603339
8/14/2012,141.289993,141.380005,140.369995,140.789993,102379400,132.45281
8/13/2012,140.600006,140.839996,140.039993,140.770004,79426900,132.434005
8/10/2012,140.039993,140.889999,139.809998,140.839996,99792700,132.499852
8/9/2012,140.289993,140.889999,140.149994,140.610001,90291700,132.283476
8/8/2012,139.850006,140.649994,139.809998,140.490005,89754700,132.170587
8/7/2012,140.179993,140.919998,140.029999,140.320007,109545100,132.010656
8/6/2012,139.720001,140.169998,139.559998,139.619995,86326200,131.352096
8/3/2012,138.559998,139.639999,136.679993,139.350006,157825000,131.098095
8/2/2012,136.550003,137.570007,135.580002,136.639999,199556600,128.548567
8/1/2012,138.699997,138.729996,137.399994,137.589996,138293800,129.442308
7/31/2012,138.490005,138.869995,137.710007,137.710007,120575900,129.555212
7/30/2012,138.520004,139.339996,138.270004,138.679993,106782000,130.467758
7/27/2012,136.889999,139.070007,136.139999,138.679993,236768900,130.467758
7/26/2012,135.889999,136.460007,135.259995,136.169998,156526500,128.106398
7/25/2012,134.210007,134.559998,133.25,133.960007,129122300,126.027276
7/24/2012,135.190002,135.25,133.029999,133.929993,173301200,125.99904
7/23/2012,134.470001,136.380005,133.839996,135.089996,145210900,127.090351
7/20/2012,136.949997,137.160004,136.320007,136.470001,142904500,128.388636
7/19/2012,137.649994,138.179993,137.210007,137.729996,129847300,129.574017
7/18/2012,136.039993,137.639999,135.960007,137.369995,113349700,129.235335
7/17/2012,135.970001,136.639999,134.550003,136.360001,138860300,128.285149
7/16/2012,135.440002,135.830002,134.899994,135.429993,97525200,127.410214
7/13/2012,133.860001,135.889999,133.839996,135.75,129642600,127.711271
7/12/2012,133.380005,134.229996,132.600006,133.509995,143583200,125.603912
7/11/2012,134.210007,134.600006,133.380005,134.160004,141733400,126.21543
7/10/2012,136.009995,136.229996,133.679993,134.139999,167884800,126.19661
7/9/2012,135.380005,135.570007,134.699997,135.320007,103780500,127.306741
7/6/2012,135.470001,135.770004,134.850006,135.490005,151192100,127.466673
7/5/2012,136.899994,137.800003,136.289993,136.789993,126177500,128.689679
7/3/2012,136.479996,137.509995,136.339996,137.410004,80450000,129.272974
7/2/2012,136.479996,136.649994,135.520004,136.509995,129524500,128.426261
6/29/2012,135.199997,136.270004,134.850006,136.100006,212250900,128.040551
6/28/2012,132.289993,132.990005,131.279999,132.789993,169242100,124.926548
6/27/2012,132.419998,133.429993,131.970001,133.169998,108088000,125.28405
6/26/2012,131.699997,132.380005,130.929993,131.979996,141634000,124.164516
6/25/2012,132.050003,132.100006,130.850006,131.320007,146375700,123.54361
6/22/2012,133.130005,133.710007,132.619995,133.460007,130029200,125.556885
6/21/2012,135.639999,135.779999,132.330002,132.440002,205272200,124.597282
